国家,日期,销售额,利润
Algeria,2017-12-31,2867.75,-19.72
Algeria,2018-12-31,2068.73,60.519999999999996
Algeria,2019-12-31,1181.66,29.92
Algeria,2020-12-31,2223.79,-50.26
Angola,2017-12-31,1451.46,123.82
Angola,2018-12-31,1362.6,-63.6
Angola,2019-12-31,1164.26,6.150000000000002
Angola,2020-12-31,2102.77,82.97
Benin,2017-12-31,5108.14,98.21000000000001
Benin,2018-12-31,3424.66,48.269999999999996
Benin,2019-12-31,3950.79,110.19
Benin,2020-12-31,4496.37,-97.85
Botswana,2017-12-31,2603.16,170.67
Botswana,2018-12-31,2011.0100000000002,90.19
Botswana,2019-12-31,1502.4099999999999,-48.900000000000006
Botswana,2020-12-31,1817.05,-48.39
Burkina Faso,2017-12-31,2335.56,-28.49
Burkina Faso,2018-12-31,3517.49,22.6
Burkina Faso,2019-12-31,2352.83,-23.81
Burkina Faso,2020-12-31,1815.48,-81.30000000000001
Burundi,2017-12-31,1980.4299999999998,70.79
Burundi,2018-12-31,2223.71,-24.970000000000002
Burundi,2019-12-31,2631.15,97.42999999999999
Burundi,2020-12-31,1552.4099999999999,-1.5799999999999965
Cameroon,2017-12-31,4406.54,41.84
Cameroon,2018-12-31,2999.58,-60.39
Cameroon,2019-12-31,4689.45,125.01
Cameroon,2020-12-31,4445.75,137.26999999999998
Central African Republic,2017-12-31,1865.1399999999999,66.69
Central African Republic,2018-12-31,2267.6,-16.870000000000005
Central African Republic,2019-12-31,1969.42,89.44
Central African Republic,2020-12-31,2048.54,7.019999999999998
Chad,2017-12-31,1267.88,33.230000000000004
Chad,2018-12-31,2204.84,52.35
Chad,2019-12-31,906.1600000000001,20.319999999999997
Chad,2020-12-31,903.0400000000001,57.49999999999999
Congo,2017-12-31,2464.99,-23.239999999999995
Congo,2018-12-31,2064.86,76.84
Congo,2019-12-31,2136.57,85.32
Congo,2020-12-31,2038.06,-57.260000000000005
Cote d'Ivoire,2017-12-31,4623.18,-143.82999999999998
Cote d'Ivoire,2018-12-31,3724.27,-69.17000000000002
Cote d'Ivoire,2019-12-31,5435.86,-23.670000000000005
Cote d'Ivoire,2020-12-31,4284.53,121.65
Democratic Republic of the Congo,2017-12-31,5856.15,132.56
Democratic Republic of the Congo,2018-12-31,6177.6,88.99999999999999
Democratic Republic of the Congo,2019-12-31,5335.639999999999,140.75
Democratic Republic of the Congo,2020-12-31,6432.26,56.010000000000005
Djibouti,2017-12-31,3005.07,-12.659999999999997
Djibouti,2018-12-31,1929.17,13.940000000000001
Djibouti,2019-12-31,2700.74,-42.56
Djibouti,2020-12-31,1702.28,27.540000000000003
Egypt,2017-12-31,2644.26,141.04
Egypt,2018-12-31,1529.46,49.800000000000004
Egypt,2019-12-31,1900.19,-37.66
Egypt,2020-12-31,1320.04,-10.969999999999999
Equatorial Guinea,2017-12-31,3030.2999999999997,-0.21000000000000174
Equatorial Guinea,2018-12-31,1684.77,10.069999999999999
Equatorial Guinea,2019-12-31,2155.33,80.67
Equatorial Guinea,2020-12-31,1461.61,-12.49
Eritrea,2017-12-31,2001.1999999999998,-14.16
Eritrea,2018-12-31,2659.88,83.48
Eritrea,2019-12-31,1157.9099999999999,83.23
Eritrea,2020-12-31,2903.85,-80.83
Ethiopia,2017-12-31,1515.0500000000002,-6.27
Ethiopia,2018-12-31,2550.81,125.09
Ethiopia,2019-12-31,1966.98,72.07
Ethiopia,2020-12-31,2161.62,19.38
Gabon,2017-12-31,3802.02,1.1200000000000045
Gabon,2018-12-31,1580.79,25.24
Gabon,2019-12-31,2089.8,89.49000000000001
Gabon,2020-12-31,1629.8899999999999,-117.29
Ghana,2017-12-31,3605.45,-24.840000000000003
Ghana,2018-12-31,4079.79,125.43
Ghana,2019-12-31,4567.55,-6.93
Ghana,2020-12-31,3833.54,107.13999999999999
Guinea,2017-12-31,1317.22,27.99
Guinea,2018-12-31,1252.12,-41.449999999999996
Guinea,2019-12-31,2399.3,-30.380000000000003
Guinea,2020-12-31,1624.12,-21.0
Guinea-Bissau,2017-12-31,2182.5,118.06
Guinea-Bissau,2018-12-31,2037.4,74.65
Guinea-Bissau,2019-12-31,1436.21,-39.440000000000005
Guinea-Bissau,2020-12-31,1258.62,48.89
Kenya,2017-12-31,2310.07,-30.180000000000007
Kenya,2018-12-31,1800.65,-23.68
Kenya,2019-12-31,2292.3399999999997,13.680000000000001
Kenya,2020-12-31,2265.65,19.0
Lesotho,2017-12-31,1762.79,104.22
Lesotho,2018-12-31,1871.62,-9.359999999999998
Lesotho,2019-12-31,1738.99,125.8
Lesotho,2020-12-31,2044.9699999999998,45.67999999999999
Liberia,2017-12-31,1796.75,-75.31
Liberia,2018-12-31,1699.52,-19.189999999999998
Liberia,2019-12-31,1573.06,-50.39
Liberia,2020-12-31,1563.01,11.46
Libya,2017-12-31,2313.13,40.17
Libya,2018-12-31,1904.84,112.42999999999999
Libya,2019-12-31,1873.2,25.720000000000002
Libya,2020-12-31,734.25,14.129999999999999
Madagascar,2017-12-31,2769.01,-52.64
Madagascar,2018-12-31,2676.85,-58.42
Madagascar,2019-12-31,2255.88,99.96000000000001
Madagascar,2020-12-31,1277.38,14.209999999999999
Malawi,2017-12-31,4262.9400000000005,54.39
Malawi,2018-12-31,5436.48,106.28999999999999
Malawi,2019-12-31,3736.62,106.86
Malawi,2020-12-31,3738.83,52.64
Mali,2017-12-31,1588.96,-12.620000000000001
Mali,2018-12-31,1462.58,55.56
Mali,2019-12-31,1733.6799999999998,-57.13
Mali,2020-12-31,1447.33,31.28
Mauritania,2017-12-31,1623.65,36.95
Mauritania,2018-12-31,2111.51,70.66
Mauritania,2019-12-31,2081.6400000000003,51.519999999999996
Mauritania,2020-12-31,3255.81,140.5
Mauritius,2017-12-31,2121.42,-25.95
Mauritius,2018-12-31,1151.07,71.4
Mauritius,2019-12-31,873.73,-8.940000000000001
Mauritius,2020-12-31,1520.4,87.30000000000001
Morocco,2017-12-31,2633.37,69.58
Morocco,2018-12-31,526.75,42.01
Morocco,2019-12-31,1378.88,24.389999999999997
Morocco,2020-12-31,1437.8500000000001,-67.11
Mozambique,2017-12-31,1649.52,14.869999999999997
Mozambique,2018-12-31,2130.61,58.78
Mozambique,2019-12-31,3265.9,-21.17
Mozambique,2020-12-31,2461.78,93.74000000000001
Namibia,2017-12-31,2281.31,-7.830000000000004
Namibia,2018-12-31,1108.01,-29.86
Namibia,2019-12-31,2864.63,14.729999999999997
Namibia,2020-12-31,2651.51,99.39999999999999
Niger,2017-12-31,1056.3,-35.0
Niger,2018-12-31,2909.18,-35.17999999999999
Niger,2019-12-31,2146.3900000000003,-77.44
