城市,日期,销售额,利润
Abidjan,2017-03-31,1254.17,6.57
Abidjan,2017-06-30,0.0,0.0
Abidjan,2017-09-30,1638.63,-85.1
Abidjan,2017-12-31,0.0,0.0
Abidjan,2018-03-31,87.93,5.28
Abidjan,2018-06-30,1121.41,-73.10000000000001
Abidjan,2018-09-30,263.1,5.26
Abidjan,2018-12-31,0.0,0.0
Abidjan,2019-03-31,783.96,-15.68
Abidjan,2019-06-30,510.55,30.63
Abidjan,2019-09-30,54.12,4.33
Abidjan,2019-12-31,896.76,8.97
Abidjan,2020-03-31,919.79,91.98
Abidjan,2020-06-30,86.84,-5.21
Abidjan,2020-09-30,1227.6100000000001,81.97
Abuja,2017-03-31,723.84,7.24
Abuja,2017-06-30,652.21,58.7
Abuja,2017-09-30,936.65,-56.2
Abuja,2017-12-31,473.33,28.4
Abuja,2018-03-31,515.69,-20.63
Abuja,2018-06-30,819.48,-16.39
Abuja,2018-09-30,992.39,39.7
Abuja,2018-12-31,66.06,0.66
Abuja,2019-03-31,357.36,-7.15
Abuja,2019-06-30,860.98,43.05
Abuja,2019-09-30,717.28,43.04
Abuja,2019-12-31,38.3,1.15
Abuja,2020-03-31,1301.79,-1.4399999999999995
Abuja,2020-06-30,0.0,0.0
Abuja,2020-09-30,137.79,12.4
Abuja,2020-12-31,705.15,49.36
Accra,2017-03-31,277.24,14.46
Accra,2017-06-30,0.0,0.0
Accra,2017-09-30,142.12,0.0
Accra,2017-12-31,831.92,49.92
Accra,2018-03-31,1365.62,-35.22
Accra,2018-06-30,0.0,0.0
Accra,2018-09-30,1013.9000000000001,99.04
Accra,2018-12-31,0.0,0.0
Accra,2019-03-31,797.0,79.7
Accra,2019-06-30,1319.52,-81.82000000000001
Accra,2019-09-30,0.0,0.0
Accra,2019-12-31,535.35,-26.77
Accra,2020-03-31,927.76,28.02
Accra,2020-06-30,0.0,0.0
Accra,2020-09-30,1343.8,56.05
Addis Ababa,2017-03-31,509.93,10.2
Addis Ababa,2017-06-30,600.36,6.0
Addis Ababa,2017-09-30,18.17,0.73
Addis Ababa,2017-12-31,386.59,-23.2
Addis Ababa,2018-03-31,932.04,74.56
Addis Ababa,2018-06-30,867.75,65.55
Addis Ababa,2018-09-30,0.0,0.0
Addis Ababa,2018-12-31,751.02,-15.02
Addis Ababa,2019-03-31,599.04,-7.619999999999999
Addis Ababa,2019-06-30,0.0,0.0
Addis Ababa,2019-09-30,624.27,49.94
Addis Ababa,2019-12-31,743.67,29.75
Addis Ababa,2020-03-31,638.73,25.88
Addis Ababa,2020-06-30,0.0,0.0
Addis Ababa,2020-09-30,872.97,0.0
Addis Ababa,2020-12-31,649.92,-6.5
Algiers,2017-03-31,1292.01,-21.799999999999997
Algiers,2017-06-30,0.0,0.0
Algiers,2017-09-30,723.41,36.17
Algiers,2017-12-31,852.33,-34.09
Algiers,2018-03-31,743.65,52.63
Algiers,2018-06-30,0.0,0.0
Algiers,2018-09-30,422.63,16.91
Algiers,2018-12-31,902.45,-9.02
Algiers,2019-03-31,597.46,-4.77
Algiers,2019-06-30,0.0,0.0
Algiers,2019-09-30,206.71,8.27
Algiers,2019-12-31,377.49,26.42
Algiers,2020-03-31,450.44,13.51
Algiers,2020-06-30,876.49,-26.29
Algiers,2020-09-30,245.2,-4.9
Algiers,2020-12-31,651.66,-32.58
Antananarivo,2017-03-31,1033.71,-74.81
Antananarivo,2017-06-30,0.0,0.0
Antananarivo,2017-09-30,787.38,-15.75
Antananarivo,2017-12-31,947.92,37.92
Antananarivo,2018-03-31,893.28,-71.46
Antananarivo,2018-06-30,924.49,38.809999999999995
Antananarivo,2018-09-30,0.0,0.0
Antananarivo,2018-12-31,859.08,-25.77
Antananarivo,2019-03-31,1116.92,-4.47
Antananarivo,2019-06-30,0.0,0.0
Antananarivo,2019-09-30,1138.96,104.43
Antananarivo,2019-12-31,0.0,0.0
Antananarivo,2020-03-31,644.44,20.86
Antananarivo,2020-06-30,0.0,0.0
Antananarivo,2020-09-30,600.21,-6.0
Antananarivo,2020-12-31,32.73,-0.65
Asmara,2017-03-31,988.55,21.68
Asmara,2017-06-30,857.28,-34.29
Asmara,2017-09-30,0.0,0.0
Asmara,2017-12-31,155.37,-1.55
Asmara,2018-03-31,1131.32,82.19
Asmara,2018-06-30,0.0,0.0
Asmara,2018-09-30,829.05,8.29
Asmara,2018-12-31,699.51,-7.0
Asmara,2019-03-31,832.45,76.72
Asmara,2019-06-30,0.0,0.0
Asmara,2019-09-30,325.46,6.51
Asmara,2019-12-31,0.0,0.0
Asmara,2020-03-31,845.23,-50.71
Asmara,2020-06-30,891.31,26.74
Asmara,2020-09-30,856.67,-59.97
Asmara,2020-12-31,310.64,3.11
Bamako,2017-03-31,847.01,42.35
Bamako,2017-06-30,242.34,-16.96
Bamako,2017-09-30,499.61,-38.01
Bamako,2017-12-31,0.0,0.0
Bamako,2018-03-31,305.74,-9.17
Bamako,2018-06-30,265.44,15.93
Bamako,2018-09-30,891.4000000000001,48.800000000000004
Bamako,2018-12-31,0.0,0.0
Bamako,2019-03-31,1083.56,-39.45
Bamako,2019-06-30,0.0,0.0
Bamako,2019-09-30,77.85,-6.23
Bamako,2019-12-31,572.27,-11.45
Bamako,2020-03-31,827.7,26.55
Bamako,2020-06-30,0.0,0.0
Bamako,2020-09-30,619.63,4.73
Bangui,2017-03-31,814.75,43.39
Bangui,2017-06-30,0.0,0.0
Bangui,2017-09-30,1050.3899999999999,23.3
Bangui,2017-12-31,0.0,0.0
Bangui,2018-03-31,669.9,33.5
Bangui,2018-06-30,995.01,-59.7
Bangui,2018-09-30,602.69,9.33
Bangui,2018-12-31,0.0,0.0
Bangui,2019-03-31,743.9,52.07
Bangui,2019-06-30,595.08,5.95
Bangui,2019-09-30,168.78,-10.13
Bangui,2019-12-31,461.66,41.55
Bangui,2020-03-31,975.17,51.67
Bangui,2020-06-30,0.0,0.0
Bangui,2020-09-30,386.36,-30.91
Bangui,2020-12-31,687.01,-13.74
Bissau,2017-03-31,28.16,0.28
Bissau,2017-06-30,1342.32,77.17999999999999
Bissau,2017-09-30,0.0,0.0
Bissau,2017-12-31,812.02,40.6
Bissau,2018-03-31,890.77,5.79
Bissau,2018-06-30,0.0,0.0
Bissau,2018-09-30,1146.63,68.86
Bissau,2018-12-31,0.0,0.0
Bissau,2019-03-31,119.64,10.77
Bissau,2019-06-30,768.8900000000001,-11.870000000000001
Bissau,2019-09-30,0.0,0.0
Bissau,2019-12-31,547.68,-38.34
Bissau,2020-03-31,776.71,6.059999999999999
Bissau,2020-06-30,53.89,4.31
Bissau,2020-09-30,0.0,0.0
Bissau,2020-12-31,428.02,38.52
Blantyre,2017-03-31,651.78,19.55
Blantyre,2017-06-30,130.06,10.4
