服务分类,日期,销售额,利润
Commercial,2017-03-31,11789.0,101.86
Commercial,2017-06-30,10470.82,259.95
Commercial,2017-09-30,13417.78,287.27
Commercial,2017-12-31,6339.16,-18.250000000000014
Commercial,2018-03-31,21781.58,445.55
Commercial,2018-06-30,7195.54,104.06
Commercial,2018-09-30,9905.36,118.61000000000001
Commercial,2018-12-31,4544.72,39.599999999999994
Commercial,2019-03-31,15816.57,83.99000000000001
Commercial,2019-06-30,14366.66,-237.5
Commercial,2019-09-30,12873.74,76.65
Commercial,2019-12-31,8112.7,-5.0700000000000065
Commercial,2020-03-31,11985.97,143.41000000000003
Commercial,2020-06-30,10504.75,175.51000000000002
Commercial,2020-09-30,12418.43,81.18999999999998
Commercial,2020-12-31,7151.28,-98.4
Public,2017-03-31,14503.52,161.96
Public,2017-06-30,9860.03,76.57999999999998
Public,2017-09-30,15923.85,-23.310000000000013
Public,2017-12-31,4515.41,71.53
Public,2018-03-31,7594.56,44.83
Public,2018-06-30,9443.31,95.77000000000001
Public,2018-09-30,13444.42,107.55000000000001
Public,2018-12-31,9797.75,-32.1
Public,2019-03-31,16462.55,194.53
Public,2019-06-30,11008.86,-20.279999999999998
Public,2019-09-30,7479.48,76.05999999999999
Public,2019-12-31,3390.1800000000003,83.80999999999999
Public,2020-03-31,16491.12,26.880000000000003
Public,2020-06-30,7882.92,-62.37
Public,2020-09-30,9144.98,57.07999999999999
Public,2020-12-31,6583.71,321.68
Residential,2017-03-31,21296.76,285.41
Residential,2017-06-30,12476.05,71.72999999999998
Residential,2017-09-30,10695.0,-217.1
Residential,2017-12-31,7358.26,-54.77000000000001
Residential,2018-03-31,16145.59,266.28999999999996
Residential,2018-06-30,15511.94,435.87
Residential,2018-09-30,8877.74,203.6
Residential,2018-12-31,6328.08,139.28
Residential,2019-03-31,11309.210000000001,205.07
Residential,2019-06-30,10703.18,72.88
Residential,2019-09-30,12988.6,362.24
Residential,2019-12-31,5884.08,154.74
Residential,2020-03-31,17233.42,430.62
Residential,2020-06-30,8981.0,-5.2000000000000055
Residential,2020-09-30,10886.9,44.24
Residential,2020-12-31,6635.06,-109.57
